lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-11343,snapshot-2e5c3804a503,13380,13380,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-27T11:09:12+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,33,false,false,false,"Про 200 откликов в день звучит жестко, но по ощущениям это правда ближе к воронке продаж, чем к «нашел идеальную вакансию и красиво написал». Я бы только с копией резюме не увлекался без трекинга, иначе потом вообще непонятно, что именно сработало."
msg-11366,snapshot-2e5c3804a503,13357,13357,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-27T11:04:04+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,65,false,false,false,"Народ, задам вероятно тупой вопрос, но лично для меня он почему-то оказался нетривиальным. Антон неоднократно говорил, что нужно делать по 200 откликов в день, что в целом для трудоустройства их может быть не одна тысяча и т.д. Так вот хотелось бы прояснить этот момент. Имело вви"
msg-11403,snapshot-2e5c3804a503,13319,13319,-1001213290552,-1001213290552,,1,1,,,2026-06-27T10:58:21+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,VIII,118,false,false,false,"«Маркетинг креативных брендов: мировые практики и их применение на российском рынке» Вебинар посвящен современным подходам к продвижению брендов в креативном секторе. Участники рассмотрят изменения в стратегии развития брендов и актуальные глобальные тренды. Эксперт разберет, как"
msg-13199,snapshot-2e5c3804a503,11331,11331,-1002165514145,-1002165514145,,766573019136,766573019136,,,2026-06-27T02:12:35+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,6,false,false,false,"сам туда иди, маршрут вроде выучил."
msg-14819,snapshot-2e5c3804a503,9562,9562,-1003980547389,-1003980547389,,2738880512,2738880512,,,2026-06-26T20:17:55+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,3,false,false,false,Так а если ищем Артёма какого-то
msg-15552,snapshot-2e5c3804a503,8783,8783,-1003980547389,-1003980547389,,2506096640,2506096640,,,2026-06-26T19:41:42+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,2,false,false,false,А что щас ищем ?
msg-15888,snapshot-2e5c3804a503,8368,8368,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-26T16:30:56+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,63,false,false,false,"Ребят, видел вопрос выше про фейк опыт гпх и трудовой. Вопрос, если hrка сразу просит подтвердить опыт до собеса, я планирую скинуть фейк трудовую, а после собеса скинуть оригинал трудовой. Стоит ли замазывать имя и фамилию на скинутых доках до собеса? Проверка происходит по скин"
msg-15900,snapshot-2e5c3804a503,8407,8407,-1001738612591,-1001738612591,,,,,,2026-06-26T14:11:06+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,youtube.com,,,12,true,false,false,Мы уже в эфире прожариваем скрининги HR и валютные и обычные https://youtube.com/live/UKTU4L_ZFqU?feature=share
msg-15931,snapshot-2e5c3804a503,8366,8366,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-26T13:16:58+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,75,false,false,false,"количество откликов и сопроводительных/сообщений в чате влияет на поднятие резюме в выдаче но недолгосрочно, так что лучше это делать в районе 9:00 и 12:00 в будни вопрос ""в пятницу или подождать середины недели"" в корне неверный, отклики нужно делать каждый день по 200 штук и не"
msg-16328,snapshot-2e5c3804a503,7822,7822,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-26T11:35:12+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,7,false,false,false,Так-то гпт лучше резюме на англ поймет
msg-16330,snapshot-2e5c3804a503,7820,7820,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-26T11:31:37+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,7,false,false,false,а в чем суть английского резюме на ру рынок
msg-16339,snapshot-2e5c3804a503,7819,7819,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-26T11:21:54+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,39,false,false,false,"Всем привет, меня зовут Илья, ищу работу на позицию middle+/senior ios, в целом позиция не так важна как зп (хотелось бы 300к+ на руки) рассматриваю российский рынок. Опыт в резюме реальный (с небольшими добавками по срокам). Прошу дать оценку резюме, необходимые исправления. #io"
msg-16380,snapshot-2e5c3804a503,7979,7979,-1001213290552,-1001213290552,,8681,8681,,,2026-06-26T10:25:35+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,238,false,false,false,"Project manager / Content producer (commercial & e-commerce) #гибрид #Москва #вакансия Мы создаем премиальный контент для бизнеса: от строительных гигантов до fashion-брендов. Ищем продюсера-организатора, который берет на себя ответственность за визуал, выполнение целей клиента п"
msg-16381,snapshot-2e5c3804a503,7978,7978,-1001213290552,-1001213290552,,8681,8681,,,2026-06-26T10:25:25+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,"GROUP,PROGRESSION",78,false,false,false,"Senior Старший креатор | PROGRESSION GROUP #гибрид #Москва #вакансия PROGRESSION GROUP — коммуникационное агентство полного цикла с 30-летней историей. Подробности: • Гибридный формат работы. • Москва, м. Кропоткинская. Задачи: • Создавать креативные проекты в направлениях BTL, D"
msg-16441,snapshot-2e5c3804a503,7816,7816,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-26T09:35:21+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,2r.ru,,,42,true,false,false,"Навыки нужно указать исключительно 30 самых частых по специальности из бота @om_assistant_robot (ввести ""/start"", выбрать ""Топ навыков и резюме"", потом свою специальность) или с сайта https://2r.ru/top-skills-and-resumes . Если в боте специальности нет, то самому провести исследо"
msg-16450,snapshot-2e5c3804a503,7806,7806,-1001213290552,-1001213290552,,1,1,,,2026-06-26T09:28:03+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,119,false,false,false,"Вовремя или никогда: как брендам работать с трендами и не выглядеть чужими Тренды меняются ежедневно, но не все бренды успевают использовать их эффективно. На вебинаре разберем, почему одни компании успешно внедряют ситуативный маркетинг, а другие остаются за бортом актуальной по"
msg-16452,snapshot-2e5c3804a503,7805,7805,-1001213290552,-1001213290552,,1,1,,,2026-06-26T09:26:57+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,106,false,false,false,"Как выстроить систему конверсии в B2B SaaS В B2B SaaS путь клиента стал значительно сложнее. Пользователи изучают не только лендинг, но и отзывы, кейсы, контекст, демоверсии, а также оценивают скорость взаимодействия с командой. Успешный рост сегодня зависит не от количества лидо"
